Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Organization Description,Organization Industries,Organization Website,Lead Investors,Investor Names
Series C - Rain,https://www.crunchbase.com/funding_round/rain-855d-series-c--cd312ed6,Rain,https://www.crunchbase.com/organization/rain-855d,Series C,250000000,USD,250000000,2026-01-09,Rain is a stablecoin infrastructure platform offering wallets and global transfers through a unified API for enterprises and neobanks.,"Blockchain, Cryptocurrency, Decentralized Finance (DeFi), FinTech, Web3",https://www.rain.xyz,ICONIQ Capital,"Bessemer Venture Partners, Dragonfly, Endeavor Catalyst, FirstMark, Galaxy Ventures, ICONIQ Capital, Lightspeed Venture Partners, Norwest, Sapphire Ventures"
Post-IPO Equity - Genelux,https://www.crunchbase.com/funding_round/genelux-post-ipo-equity--cddd855c,Genelux,https://www.crunchbase.com/organization/genelux,Post-IPO Equity,20000000,USD,20000000,2026-01-09,Genelux is a biopharmaceutical company that develops diagnostic and therapeutic solutions for cancer and inflammatory diseases.,"Biopharma, Biotechnology, Health Care, Health Diagnostics",http://genelux.com,,
Post-IPO Equity - Apollo Micro Systems,https://www.crunchbase.com/funding_round/apollo-micro-systems-post-ipo-equity--483f0869,Apollo Micro Systems,https://www.crunchbase.com/organization/apollo-micro-systems,Post-IPO Equity,12147964,INR,134634,2026-01-09,"Apollo Micro Systems engaged in the business of electronic, electro-mechanical, engineering designs, manufacturing and supply.","Industrial Manufacturing, Machinery Manufacturing, Manufacturing",http://apollo-micro.com/,,
Pre Seed Round - Rollo Robotics,https://www.crunchbase.com/funding_round/rollo-robotics-pre-seed--1283cc56,Rollo Robotics,https://www.crunchbase.com/organization/rollo-robotics,Pre-Seed,3700000,EUR,4309697,2026-01-09,Rollo Robotics develops autonomous monowheel security robots using gyroscopic stabilisation technology.,"Robotic Process Automation (RPA), Robotics, Security",https://1rollo.com/,FoodLabs,"Enterprise Estonia, FoodLabs"
Corporate Round - Traveltime E-Mobility,https://www.crunchbase.com/funding_round/traveltime-e-mobility-corporate-round--52108426,Traveltime E-Mobility,https://www.crunchbase.com/organization/traveltime-e-mobility,Corporate Round,351350,INR,3894,2026-01-09,"Traveltime E-Mobility operates within the service sector, focusing on the operation and maintenance of electric buses.",,,TML Smart City Mobility Solutions,TML Smart City Mobility Solutions
Pre Seed Round - Tably,https://www.crunchbase.com/funding_round/tably-pre-seed--fa64c476,Tably,https://www.crunchbase.com/organization/tably,Pre-Seed,1000000,USD,1000000,2026-02-06,The fastest all-in-one data tool yet,"Analytics, Software",https://tably.com,,"Connect Ventures, Lightbird"
Post-IPO Debt - Saudi Telecom Company,https://www.crunchbase.com/funding_round/stc-saudi-telecom-co-post-ipo-debt--dee8882a,Saudi Telecom Company,https://www.crunchbase.com/organization/stc-saudi-telecom-co,Post-IPO Debt,2000000000,USD,2000000000,2026-01-09,Saudi Telecom Company is a telecommunications service provider.,"Communications Infrastructure, Digital Entertainment, Digital Media, Mobile, Service Industry, Telecommunications",http://www.stc.com.sa,,
Series A - Enterprise Srl,https://www.crunchbase.com/funding_round/enterprise-1078-series-a--eec446ae,Enterprise Srl,https://www.crunchbase.com/organization/enterprise-1078,Series A,,,,2026-02-01,"SIEM, Log Management, Data Loss Prevention, Artificial Intelligence, Compliance, SOC on-premise, Industrial IoT Security , NIS2 Tool","Cyber Security, Database, Data Governance, Data Management, Information Technology, Internet of Things, IT Infrastructure, IT Management, Software",https://www.businesslogmanagement.com/,,
Series A - DebitMyData,https://www.crunchbase.com/funding_round/debitmydata-series-a--ee9d5d51,DebitMyData,https://www.crunchbase.com/organization/debitmydata,Series A,,,,2026-01-10,"Foundational Model (DID) LLM, Agentic Logo System, Human Energy Grid, Blockchain, NFT Custom Logo and Facial Recognition","Advertising, Agentic AI, Artificial Intelligence (AI), Blockchain, Cryptocurrency, Cyber Security, Data Center, Data Collection and Labeling, Foundational AI, Machine Learning",http://www.debitmydata.com,,
Pre Seed Round - Scholé,https://www.crunchbase.com/funding_round/scholé-pre-seed--b433a596,Scholé,https://www.crunchbase.com/organization/scholé,Pre-Seed,2875000,USD,2875000,2026-01-15,AI-native personalized learning,Education,https://www.schole.ai,,
Pre Seed Round - ezbillpay,https://www.crunchbase.com/funding_round/ezbillpay-pre-seed--557d7f9f,ezbillpay,https://www.crunchbase.com/organization/ezbillpay,Pre-Seed,,,,2026-02-01,"ezbillpay provides payment gateway that enables businesses to accept various payment methods, including credit cards and digital wallets.","Financial Services, FinTech, Payments, SaaS",https://ezbillpay.in,,
Pre Seed Round - Saptiva AI,https://www.crunchbase.com/funding_round/saptiva-pre-seed--64a48e15,Saptiva AI,https://www.crunchbase.com/organization/saptiva,Pre-Seed,,,,2026-01-31,"AI infrastructure for Mexico and LATAM — national compute, orchestration, and model systems built for secure, local deployment.","Artificial Intelligence (AI), Cloud Infrastructure, Generative AI, Private Cloud",https://www.saptiva.com,,"AngelHub VC, Macropay"
Grant - Vibey,https://www.crunchbase.com/funding_round/vibey-9939-grant--609539ca,Vibey,https://www.crunchbase.com/organization/vibey-9939,Grant,42900,ZAR,2593,2026-01-31,"A next-generation social platform combining AI co-creating, digital twins, live streaming, music, discovery & monetization for all creators.","Artificial Intelligence (AI), Digital Entertainment, Generative AI, Machine Learning, Media and Entertainment, Music Streaming, Social, Social Media, Social Network, Video Streaming",https://vibey.app,,Google for Startups
Pre Seed Round - Jurifica,https://www.crunchbase.com/funding_round/jurifica-pre-seed--786cb056,Jurifica,https://www.crunchbase.com/organization/jurifica,Pre-Seed,,,,2026-01-10,"SaaS, Desktop App","Artificial Intelligence (AI), Legal Tech, SaaS, Software",https://www.jurifica.com,,
Pre Seed Round - myRental,https://www.crunchbase.com/funding_round/myrental-pre-seed--1d5814ea,myRental,https://www.crunchbase.com/organization/myrental,Pre-Seed,,,,2026-02-01,"MyRental manages rentals, property operations, inspections, documentation, facilities, and HOA tasks for streamlined property management.",,https://myrental.co.in,,
Seed Round - ZOMI,https://www.crunchbase.com/funding_round/zomi-seed--0ffd4f09,ZOMI,https://www.crunchbase.com/organization/zomi,Seed,,,,2026-01-15,ZOMI is building MENU OS for food: turning dead menus into an appetite engine for diners and an acquisition rail for restaurants.,"Artificial Intelligence (AI), Content Discovery, Machine Learning, Mobile Apps, Predictive Analytics, Restaurants, SaaS",http://zomi.menu,,
Pre Seed Round - NeuralShift,https://www.crunchbase.com/funding_round/neuralshift-59d3-pre-seed--1d6ebc4e,NeuralShift,https://www.crunchbase.com/organization/neuralshift-59d3,Pre-Seed,,,,2026-01-12,Democratising Quant Trading,"Artificial Intelligence (AI), B2B, B2C, FinTech, Software",https://neuralshift.co.uk/,,
Pre Seed Round - Paivana,https://www.crunchbase.com/funding_round/paivana-pre-seed--243d5f2d,Paivana,https://www.crunchbase.com/organization/paivana,Pre-Seed,1500,USD,1500,2026-01-09,Paivana is an AI driven fintech company that offers AI agent enabled cash and payment system for instant account-free transactions.,"Agentic AI, FinTech, Payments",https://paivana.ai/,,
Venture Round - Performance Drone Works,https://www.crunchbase.com/funding_round/performance-drone-works-series-unknown--458d618a,Performance Drone Works,https://www.crunchbase.com/organization/performance-drone-works,Venture - Series Unknown,390166,USD,390166,2026-01-09,Performance Drone Works specializes in developing autonomous unmanned aerial systems.,"Aerospace, Automotive, Military",https://www.pdw.ai/,,Gaingels
Venture Round - Savvy,https://www.crunchbase.com/funding_round/savvy-d932-series-unknown--46a17602,Savvy,https://www.crunchbase.com/organization/savvy-d932,Venture - Series Unknown,910007,USD,910007,2026-01-09,Savvy is a travel company that offers vacation rental properties for travelers.,"Tourism, Travel Accommodations, Travel Agency, Vacation Rental",https://www.savvy.com/,,
Pre Seed Round - 100XBIO,https://www.crunchbase.com/funding_round/100x-bioassay-pre-seed--63b4e7ae,100XBIO,https://www.crunchbase.com/organization/100x-bioassay,Pre-Seed,10000,USD,10000,2026-01-11,One-click immune R&D platform,"Biopharma, Biotechnology, Life Science",https://www.100xbio.com/,,
Seed Round - Munimatrix,https://www.crunchbase.com/funding_round/munimatrix-seed--70bb1552,Munimatrix,https://www.crunchbase.com/organization/munimatrix,Seed,1375000,USD,1375000,2026-01-09,Munimatrix is a data driven tech company that offers a platform to access government municipal documents in one place.,"Data Management, Document Management, Government, Software",https://www.munimatrix.com/,,
Pre Seed Round - Legal Extract AI,https://www.crunchbase.com/funding_round/legal-extract-ai-pre-seed--7bf8790f,Legal Extract AI,https://www.crunchbase.com/organization/legal-extract-ai,Pre-Seed,,,,2026-01-09,Legal Extract AI offers tools that extract structured data and key terms from legal documents.,"Artificial Intelligence (AI), Legal, Legal Tech, SaaS",https://www.legalextract.ai,,
Pre Seed Round - Apple,https://www.crunchbase.com/funding_round/apple-pre-seed--81c1868d,Apple,https://www.crunchbase.com/organization/apple,Pre-Seed,1000000,USD,1000000,2026-01-10,"Apple is a technology company that designs, manufactures, and markets consumer electronics, personal computers, and software.","Apps, Artificial Intelligence (AI), Broadcasting, Digital Entertainment, Foundational AI, Media and Entertainment, Mobile Devices, Operating Systems, TV, Wearables",https://www.apple.com,"Antonio Sagansay, Google","Antonio Sagansay, Google"
Pre Seed Round - FOTOhub,https://www.crunchbase.com/funding_round/fotohub-pre-seed--9e3f076c,FOTOhub,https://www.crunchbase.com/organization/fotohub,Pre-Seed,3500000,PLN,966785,2026-01-10,FOTOhub | Next-gen AI Photo Platform with Unlimited Storage & Generation,"Artificial Intelligence (AI), Generative AI, Information Technology, Machine Learning, Photo Editing, Photo Sharing, SaaS, Software",https://fotohub.pl,,
Venture Round - Verdant Organics,https://www.crunchbase.com/funding_round/verdant-organics-series-unknown--b1015eaa,Verdant Organics,https://www.crunchbase.com/organization/verdant-organics,Venture - Series Unknown,700000,USD,700000,2026-01-09,Verdant Organics is a company that offers agricultural tech services.,"Agriculture, AgTech, Farming",,,
Seed Round - Sophia Space,https://www.crunchbase.com/funding_round/sophia-space-seed--b3b7d84a,Sophia Space,https://www.crunchbase.com/organization/sophia-space,Seed,245542,USD,245542,2026-01-09,Sophia Space is a space-tech startup building an orbital computing infrastructure.,"Data Center Automation, Database, IT Infrastructure",https://sophia.space,,Gaingels
Venture Round - Squads,https://www.crunchbase.com/funding_round/squads-45a1-series-unknown--f7d86e01,Squads,https://www.crunchbase.com/organization/squads-45a1,Venture - Series Unknown,46374702,USD,46374702,2026-01-09,Squads Labs is a technology company dedicated to growing the on-chain economy by developing smart account technology and products.,"Apps, Developer Platform, Web Development",https://squads.so,,
Pre Seed Round - GIRL NOW WOMAN LATER,https://www.crunchbase.com/funding_round/girl-now-woman-later-pre-seed--facecd76,GIRL NOW WOMAN LATER,https://www.crunchbase.com/organization/girl-now-woman-later,Pre-Seed,,,,2026-01-12,"GNWL empowers girls in Burkina Faso through menstrual health education, free period kits, and advocacy to end period poverty.","Education, Health Care, Non Profit",https://www.girlnowwomanlater.org/,,